,Full Sample,Pre-1990,Post-1990
ann_return,0.013292376180630203,0.017618302796915924,0.005443909319654672
ann_vol,0.053141826321927106,0.05590510868259087,0.047702541135996084
sharpe,0.250130210055381,0.31514656195279617,0.11412199832571869
sortino,0.2897347453484496,0.3359876094708972,0.16849557322737513
calmar,0.030246714346544877,0.040090331835912846,0.023822024554613692
max_dd,0.4394651276279405,0.4394651276279405,0.22852420906435222
skew,-1.9872085308758132,-2.8085692361679246,0.40696568060778743
kurt,28.34998038402506,34.77658178391144,4.991345719933028
n,1182.0,762.0,420.0
